2026-07-19 15:59:43,350 | INFO     | calculator.operations | SUBTRACT: 0 - 0 = 0
2026-07-19 15:59:43,384 | INFO     | calculator.operations | SUBTRACT: -5 - -5 = 0
2026-07-19 15:59:43,421 | INFO     | calculator.operations | SUBTRACT: 2.5 - 0.5 = 2.0
2026-07-19 15:59:43,462 | INFO     | calculator.operations | MULTIPLY: 3 * 4 = 12
2026-07-19 15:59:43,502 | INFO     | calculator.operations | MULTIPLY: -3 * 4 = -12
2026-07-19 15:59:43,539 | INFO     | calculator.operations | MULTIPLY: 0 * 100 = 0
2026-07-19 15:59:43,574 | INFO     | calculator.operations | MULTIPLY: -2 * -2 = 4
2026-07-19 15:59:43,605 | INFO     | calculator.operations | MULTIPLY: 2.5 * 2 = 5.0
2026-07-19 15:59:43,640 | INFO     | calculator.operations | DIVIDE: 10 / 2 = 5.0
2026-07-19 15:59:43,679 | INFO     | calculator.operations | DIVIDE: 9 / 3 = 3.0
2026-07-19 15:59:43,717 | INFO     | calculator.operations | DIVIDE: -10 / 2 = -5.0
2026-07-19 15:59:43,751 | INFO     | calculator.operations | DIVIDE: 5 / 2 = 2.5
2026-07-19 15:59:43,786 | ERROR    | calculator.operations | DIVIDE: Attempted division by zero (10 / 0)
2026-07-19 16:00:24,215 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:24,468 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:24,492 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:24,916 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:25,212 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:25,234 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:25,650 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:25,935 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:25,955 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:26,380 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:26,747 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:27,173 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:27,473 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:27,895 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:28,187 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:28,604 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:28,803 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:28,823 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:28,835 | INFO     | calculator.main | User jaytest created calculation 2
2026-07-19 16:00:29,186 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:29,380 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:29,398 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:29,597 | INFO     | calculator.main | Registered new user otheruser
2026-07-19 16:00:29,792 | INFO     | calculator.main | User otheruser logged in
2026-07-19 16:00:30,224 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:30,519 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:30,536 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:30,882 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:31,078 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:31,402 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:31,769 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:32,203 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:32,548 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:32,566 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:32,931 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:33,133 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:33,150 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:33,580 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:33,874 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:33,891 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:34,216 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:34,408 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:34,734 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:34,926 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:34,944 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 16:00:35,259 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:35,630 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:36,200 | INFO     | calculator.main | Registered new user newuser
2026-07-19 16:00:36,624 | INFO     | calculator.main | Registered new user dbcheck
2026-07-19 16:00:37,009 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:37,371 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:37,907 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:38,274 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:38,703 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:39,081 | INFO     | calculator.main | User jaytest logged in
2026-07-19 16:00:39,507 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 16:00:39,903 | INFO     | calculator.main | Serving index page to client Address(host='testclient', port=50000)
